好	1	2671200		986131	712619	972450
安全	1	1890684		771194	506173	613317
创新	1	1724418		704168	486020	534230
增长	1	1711895		749197	445493	517205
风险	-1	1657562		912414	258221	486927
合作	1	1633116		705518	465693	461905
智能	1	1398698		571691	527555	299452
第一	1	1316109		541055	348687	426367
健康	1	1262668		395243	425049	442376
重要	1	1197705		488219	313132	396354
支持	1	1181670		535908	287224	358538
推进	1	1167995		414783	306252	446960
提升	1	1094729		449137	309510	336082
提高	1	955626		378582	237693	339351
重点	1	941813		370313	256576	314924
解决	-1	911814		370352	262192	279270
上市	1	847572		409283	212587	225702
有效	1	783648		364256	197446	221946
优势	1	769012		328339	220160	220513
核心	1	768419		320120	214691	233608
完善	-1	744079		280320	162369	301390
保障	1	719426		289191	162506	267729
增加	1	685788		302155	169147	214486
积极	1	680896		276956	173498	230442
特色	1	679274		191900	142810	344564
打造	1	665724		258704	195544	211476
共享	1	647119		270356	189625	187138
人工智能	1	646229		273553	234495	138181
价值	1	639597		280225	162103	197269
促进	1	626601		236338	163780	226483
正式	1	624199		314795	149592	159812
免费	1	615419		231779	177331	206309
智慧	1	611671		211579	262951	137141
信用	1	576556		346459	76261	153836
坚持	1	573603		153189	104282	316132
人才	1	560826		214973	159739	186114
成功	1	556807		244422	147836	164549
快速	1	540951		235232	150121	155598
拥有	1	537003		220865	147218	168920
共同	1	522173		204663	142246	175264
保护	1	521675		206511	113767	201397
负责	1	513703		222256	116396	175051
公开	1	507757		263986	101783	141988
落实	1	481144		192293	106373	182478
符合	1	478494		238080	89941	150473
专家	1	464900		182404	147820	134676
开放	1	464650		176090	125595	162965
最高	1	459327		212772	103748	142807
稳定	1	455267		191416	104242	159609
知识	1	443513		192673	113404	137436
机会	1	440905		189890	115314	135701
最新	1	432760		182186	116870	133704
环保	1	426992		163749	122911	140332
关键	1	419508		176682	119623	123203
一般	-1	415224		179178	104167	131879
帮助	1	404241		174383	109766	120092
良好	1	402162		175485	90416	136261
推荐	1	399818		167588	101546	130684
优惠	1	398722		179611	64838	154273
爱	1	389809		119235	125966	144608
保证	1	389601		168298	84778	136525
满足	1	383193		170001	89656	123536
分享	1	383163		157546	103728	121889
充分	1	375754		152739	91475	131540
盈利	1	366729		166740	87706	112283
导致	-1	364644		164218	86103	114323
依法	1	363511		150548	60601	152362
及时	1	363213		177166	73633	112414
鼓励	1	360536		143750	90381	126405
绿色	1	354743		123179	96021	135543
无法	-1	352692		164433	82539	105720
突破	1	342035		143117	100262	98656
事业	1	336412		110999	85189	140224
取消	-1	334367		131144	107788	95435
有望	1	324258		131078	106885	86295
优质	1	319355		133564	86731	99060
严格	0	317536		138709	62474	116353
增强	1	316495		109707	71796	134992
欢迎	1	312601		128025	70945	113631
理念	1	311613		116511	78680	116422
